,Created Date,Negative,Neutral,Positive,Tweets Ago,Twitter Account,compound
33,2018-03-20 22:43:28+00:00,0.123,0.877,0.0,34,CBSNews,-0.4215
34,2018-03-20 22:43:28+00:00,0.084,0.837,0.08,35,CBSNews,-0.0258
35,2018-03-20 22:42:29+00:00,0.0,1.0,0.0,36,CBSNews,0.0
36,2018-03-20 22:39:39+00:00,0.224,0.717,0.058,37,CBSNews,-0.5719
37,2018-03-20 22:37:35+00:00,0.0,1.0,0.0,38,CBSNews,0.0
38,2018-03-20 22:34:36+00:00,0.0,0.913,0.087,39,CBSNews,0.2023
39,2018-03-20 22:31:29+00:00,0.0,0.888,0.112,40,CBSNews,0.4404
40,2018-03-20 22:30:01+00:00,0.11,0.749,0.141,41,CBSNews,0.1779
41,2018-03-20 22:10:01+00:00,0.223,0.777,0.0,42,CBSNews,-0.5106
42,2018-03-20 21:50:01+00:00,0.0,0.78,0.22,43,CBSNews,0.5423
43,2018-03-20 21:30:36+00:00,0.0,1.0,0.0,44,CBSNews,0.0
44,2018-03-20 21:10:01+00:00,0.124,0.876,0.0,45,CBSNews,-0.34
45,2018-03-20 20:50:01+00:00,0.0,1.0,0.0,46,CBSNews,0.0
46,2018-03-20 20:30:02+00:00,0.13,0.87,0.0,47,CBSNews,-0.4019
47,2018-03-20 20:10:01+00:00,0.0,1.0,0.0,48,CBSNews,0.0
48,2018-03-20 19:50:01+00:00,0.0,0.821,0.179,49,CBSNews,0.4019
49,2018-03-20 19:25:40+00:00,0.0,0.84,0.16,50,CBSNews,0.6114
50,2018-03-20 19:10:31+00:00,0.0,0.936,0.064,51,CBSNews,0.0772
51,2018-03-20 19:07:30+00:00,0.0,1.0,0.0,52,CBSNews,0.0
52,2018-03-20 18:50:31+00:00,0.0,1.0,0.0,53,CBSNews,0.0
53,2018-03-20 18:25:01+00:00,0.126,0.874,0.0,54,CBSNews,-0.3182
54,2018-03-20 18:20:44+00:00,0.0,1.0,0.0,55,CBSNews,0.0
55,2018-03-20 18:15:12+00:00,0.0,0.885,0.115,56,CBSNews,0.296
56,2018-03-20 18:11:31+00:00,0.0,0.88,0.12,57,CBSNews,0.3818
57,2018-03-20 18:08:18+00:00,0.0,0.789,0.211,58,CBSNews,0.6808
