,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
408,plettenberg bay,za,-34.05,23.37,67.19,100.0,92.0,9.57
410,nargana,pa,9.44,-78.59,79.88,100.0,92.0,16.06
411,meulaboh,id,4.14,96.13,80.87,100.0,44.0,2.19
412,salinopolis,br,-0.61,-47.36,78.98,100.0,92.0,10.69
413,florence,us,34.8,-87.68,41.0,48.0,1.0,3.36
416,castro,cl,-42.48,-73.76,50.54,82.0,92.0,7.11
417,tombouctou,ml,16.77,-3.01,69.35,27.0,0.0,7.45
418,chokurdakh,ru,70.62,147.9,-18.05,53.0,48.0,15.73
419,gazojak,tm,41.19,61.4,20.39,91.0,0.0,7.56
420,petaling jaya,my,3.11,101.64,86.0,66.0,75.0,2.24
421,tongliao,cn,43.61,122.27,25.07,86.0,0.0,13.82
422,plainview,us,34.18,-101.71,60.8,34.0,1.0,11.41
423,victoria,sc,5.28,115.24,86.0,74.0,75.0,3.36
424,yanahuanca,pe,-10.49,-76.52,41.63,100.0,92.0,2.53
425,ahipara,nz,-35.17,173.16,70.34,73.0,80.0,4.76
426,new norfolk,au,-42.78,147.06,62.6,51.0,75.0,10.29
427,rawson,ar,-43.3,-65.11,55.4,28.0,0.0,16.17
428,hambantota,lk,6.12,81.12,81.23,100.0,48.0,5.99
429,broome,au,52.47,1.45,46.4,75.0,56.0,20.8
430,araouane,ml,18.9,-3.53,70.97,21.0,48.0,4.65
431,mackay,au,53.65,-115.58,28.4,63.0,75.0,9.17
432,antofagasta,cl,-23.65,-70.4,64.4,82.0,0.0,5.82
433,gouyave,gd,12.16,-61.73,78.8,83.0,40.0,17.22
435,inta,ru,66.04,60.13,-7.97,63.0,44.0,6.44
436,biak,id,-0.91,122.88,84.92,85.0,64.0,2.53
437,charters towers,au,-20.07,146.27,83.21,80.0,0.0,4.54
438,zhanakorgan,kz,43.91,67.25,23.99,85.0,80.0,5.44
439,cabra,ph,37.47,-4.43,51.8,93.0,92.0,12.75
441,grand-santi,gf,4.27,-54.38,77.81,73.0,24.0,4.21
442,clyde river,ca,70.47,-68.59,-25.61,67.0,1.0,16.11
